chromosome_name	start_position	end_position	gene_biotype	hgnc_symbol	hgnc_id	entrezgene_id	ensembl_gene_id	strand	external_gene_name
6	31528962	31530232	protein_coding	MCCD1	HGNC:20668	401250	ENSG00000204511	1	MCCD1
6	31530219	31542448	protein_coding	DDX39B	HGNC:13917	7919	ENSG00000198563	-1	DDX39B
HSCHR17_1_CTG2	34402	34700	misc_RNA	RN7SL105P	HGNC:46121	NA	ENSG00000273968	-1	RN7SL105P
X	9725346	9786297	protein_coding	GPR143	HGNC:20145	4935	ENSG00000101850	-1	GPR143
16	729760	741329	protein_coding	CIAO3	HGNC:14179	64428	ENSG00000103245	-1	CIAO3
5	6713432	6757044	protein_coding	TENT4A	HGNC:16705	11044	ENSG00000112941	1	TENT4A
10	100967688	100968135	lncRNA			NA	ENSG00000273476	1	
10	100974985	100975084	miRNA	MIR608	HGNC:32864	693193	ENSG00000207551	1	MIR608
10	100980507	100985614	lncRNA			NA	ENSG00000236662	-1	
10	100987367	100994403	protein_coding	TWNK	HGNC:1160	56652	ENSG00000107815	1	TWNK
14	67581955	67600286	protein_coding	PIGH	HGNC:8964	5283	ENSG00000100564	-1	PIGH
X	13569601	13633575	protein_coding	EGFL6	HGNC:3235	25975	ENSG00000198759	1	EGFL6
1	209232196	209233419	processed_pseudogene	TFDP1P1	HGNC:11750	NA	ENSG00000224540	1	TFDP1P1
1	236348257	236502915	protein_coding	EDARADD	HGNC:14341	128178	ENSG00000186197	1	EDARADD
2	123443266	123444445	lncRNA			NA	ENSG00000226708	-1	
HSCHR11_1_CTG8	61883	66928	protein_coding	HRAS	HGNC:5173	3265	ENSG00000276536	-1	HRAS
2	196967017	197311173	protein_coding	ANKRD44	HGNC:25259	91526	ENSG00000065413	-1	ANKRD44
22	37560480	37569405	protein_coding	CDC42EP1	HGNC:17014	11135	ENSG00000128283	1	CDC42EP1
X	13574746	13575066	processed_pseudogene	RPL30P15	HGNC:36542	NA	ENSG00000233357	1	RPL30P15
X	13590292	13590346	miRNA	MIR6086	HGNC:49986	102466519	ENSG00000283493	1	MIR6086
X	13596236	13596548	misc_RNA	RN7SKP20	HGNC:45744	NA	ENSG00000199622	1	RN7SKP20
14	67610986	67613864	processed_pseudogene			NA	ENSG00000259502	1	
X	13689128	13710504	protein_coding	RAB9A	HGNC:9792	9367	ENSG00000123595	1	RAB9A
14	67617302	67617415	misc_RNA			NA	ENSG00000201529	-1	Y_RNA
15	89834308	89912882	protein_coding	ARPIN-AP3S2	HGNC:38824	100526783	ENSG00000250021	-1	ARPIN-AP3S2
14	67619920	67651708	protein_coding	ARG2	HGNC:664	384	ENSG00000081181	1	ARG2
X	13734743	13777955	protein_coding	OFD1	HGNC:2567	8481	ENSG00000046651	1	OFD1
HSCHR17_1_CTG5	195712	241065	protein_coding	LRRC37A2	HGNC:32404	9884	ENSG00000274332	-1	LRRC37A2
HSCHR17_1_CTG5	195712	241065	protein_coding	LRRC37A2	HGNC:32404	474170	ENSG00000274332	-1	LRRC37A2
10	101007679	101032295	protein_coding	PDZD7	HGNC:26257	79955	ENSG00000186862	-1	PDZD7
22	37570248	37582616	protein_coding	LGALS2	HGNC:6562	3957	ENSG00000100079	-1	LGALS2
1	91600171	91600321	processed_pseudogene			NA	ENSG00000229067	1	
1	188218400	188220676	lncRNA	LINC03121	HGNC:56937	132565736	ENSG00000261182	1	LINC03121
1	190097658	190478404	protein_coding	BRINP3	HGNC:22393	339479	ENSG00000162670	-1	BRINP3
17	75646243	75647975	protein_coding	SMIM6	HGNC:40032	100130933	ENSG00000259120	1	SMIM6
22	37578669	37578922	misc_RNA			NA	ENSG00000273866	1	Metazoa_SRP
15	89850637	89850721	miRNA	MIR5094	HGNC:43519	100847059	ENSG00000264966	-1	MIR5094
14	67627299	67639675	lncRNA			NA	ENSG00000286861	-1	
15	89876540	89877285	processed_pseudogene			NA	ENSG00000259677	1	
22	50018575	50058298	protein_coding	TTLL8	HGNC:34000	164714	ENSG00000138892	-1	TTLL8
14	67647085	67674820	protein_coding	VTI1B	HGNC:17793	10490	ENSG00000100568	-1	VTI1B
15	89883931	89884030	miRNA	MIR5009	HGNC:43458	100846993	ENSG00000264796	-1	MIR5009
15	89886485	89886591	snRNA	RNU6-1111P	HGNC:48074	NA	ENSG00000212420	-1	RNU6-1111P
15	89895006	89912952	protein_coding	ARPIN	HGNC:28782	348110	ENSG00000242498	-1	ARPIN
17	75667251	75708062	protein_coding	SAP30BP	HGNC:30785	29115	ENSG00000161526	1	SAP30BP
11	65890673	65891635	protein_coding	CCDC85B	HGNC:24926	11007	ENSG00000175602	1	CCDC85B
11	65892049	65900573	protein_coding	FOSL1	HGNC:13718	8061	ENSG00000175592	-1	FOSL1
12	8940361	8949761	protein_coding	M6PR	HGNC:6752	4074	ENSG00000003056	-1	M6PR
1	209267798	209268223	processed_pseudogene	ATP5MC2P1	HGNC:844	NA	ENSG00000225712	-1	ATP5MC2P1
1	165201867	165356715	protein_coding	LMX1A	HGNC:6653	4009	ENSG00000162761	-1	LMX1A
22	37225270	37259594	protein_coding	RAC2	HGNC:9802	5880	ENSG00000128340	-1	RAC2
5	6779458	6779998	lncRNA			NA	ENSG00000272071	1	
15	89897576	89897637	snRNA	RNU7-111P	HGNC:45645	NA	ENSG00000252645	1	RNU7-111P
5	6827853	6827921	miRNA	MIR4278	HGNC:38243	100422999	ENSG00000283420	-1	MIR4278
5	6848127	6848462	misc_RNA	RN7SKP79	HGNC:45803	NA	ENSG00000200243	-1	RN7SKP79
15	89936492	89937005	processed_pseudogene			NA	ENSG00000259273	1	
5	60891935	60893577	processed_pseudogene	GNL3LP1	HGNC:25733	NA	ENSG00000215032	-1	GNL3LP1
14	67652300	67652614	processed_pseudogene	COX7A2P1	HGNC:20006	NA	ENSG00000258626	-1	COX7A2P1
15	89950760	89951345	TEC			NA	ENSG00000280377	1	
5	61114432	61116753	TEC			NA	ENSG00000279985	-1	
5	61145846	61146376	unprocessed_pseudogene			NA	ENSG00000276945	-1	
5	61157704	61162468	protein_coding	SMIM15	HGNC:33861	643155	ENSG00000188725	-1	SMIM15
14	67657105	67657211	rRNA_pseudogene	RNA5SP386	HGNC:43286	NA	ENSG00000272253	-1	RNA5SP386
14	67659820	67690367	protein_coding			NA	ENSG00000258466	-1	
HSCHR17_3_CTG2	42766	155453	protein_coding	ABR	HGNC:81	29	ENSG00000276016	-1	ABR
HSCHR11_1_CTG8	87254	89762	lncRNA	LMNTD2-AS1	HGNC:41204	692247	ENSG00000282005	1	LMNTD2-AS1
14	67676800	67695793	protein_coding	RDH11	HGNC:17964	51109	ENSG00000072042	-1	RDH11
10	101061989	101068131	protein_coding	KAZALD1	HGNC:25460	81621	ENSG00000107821	1	KAZALD1
16	760734	768865	protein_coding	MSLN	HGNC:7371	10232	ENSG00000102854	1	MSLN
15	60347134	60402883	protein_coding	ANXA2	HGNC:537	302	ENSG00000182718	-1	ANXA2
5	131155383	131224468	protein_coding	HINT1	HGNC:4912	3094	ENSG00000169567	-1	HINT1
HSCHR11_1_CTG8	90059	93677	protein_coding	RASSF7	HGNC:1166	8045	ENSG00000273859	1	RASSF7
11	65916810	65919062	protein_coding	C11orf68	HGNC:28801	83638	ENSG00000175573	-1	C11orf68
HSCHR17_1_CTG5	877604	880712	lncRNA			NA	ENSG00000280786	1	
11	65919274	65921563	protein_coding	DRAP1	HGNC:3019	10589	ENSG00000175550	1	DRAP1
HSCHR17_2_CTG1	45057	50000	lncRNA	RPH3AL-AS2	HGNC:56089	NA	ENSG00000282336	-1	RPH3AL-AS2
HSCHR17_1_CTG5	889441	892431	lncRNA	MAPT-IT1	HGNC:43741	100130148	ENSG00000281284	-1	MAPT-IT1
10	89283694	89309271	protein_coding	IFIT2	HGNC:5409	3433	ENSG00000119922	1	IFIT2
HSCHR17_2_CTG1	69150	71433	lncRNA	RPH3AL-AS1	HGNC:55345	NA	ENSG00000275886	-1	RPH3AL-AS1
HSCHR17_1_CTG5	760287	893653	protein_coding	MAPT	HGNC:6893	4137	ENSG00000276155	-1	MAPT
7	141907813	142106747	protein_coding	MGAM	HGNC:7043	8972	ENSG00000257335	1	MGAM
HSCHR17_2_CTG1	16384	122925	protein_coding	RPH3AL	HGNC:10296	9501	ENSG00000282013	1	RPH3AL
1	167809386	167914215	protein_coding	ADCY10	HGNC:21285	55811	ENSG00000143199	-1	ADCY10
10	28289258	28289350	miRNA	MIR8086	HGNC:50107	102465880	ENSG00000275036	-1	MIR8086
10	28303300	28307658	lncRNA	MPP7-DT	HGNC:54139	NA	ENSG00000282996	1	MPP7-DT
10	28338554	28340942	processed_pseudogene	ZNF101P1	HGNC:44940	NA	ENSG00000237746	-1	ZNF101P1
10	28408039	28408251	snoRNA			124902596	ENSG00000222666	-1	U3
10	28436201	28437078	processed_pseudogene	RPSAP10	HGNC:31460	NA	ENSG00000224439	1	RPSAP10
10	28442575	28442896	misc_RNA	RN7SKP39	HGNC:45763	NA	ENSG00000222705	-1	RN7SKP39
10	28652630	28652755	snRNA	RNU4ATAC6P	HGNC:46892	NA	ENSG00000252401	1	RNU4ATAC6P
X	49071470	49079887	protein_coding			NA	ENSG00000288053	-1	
10	28658987	28659467	processed_pseudogene	TPRKBP1	HGNC:44943	NA	ENSG00000231911	1	TPRKBP1
10	28667919	28668025	snRNA	RNU6-1067P	HGNC:48030	NA	ENSG00000207483	1	RNU6-1067P
10	28677510	28682932	protein_coding	BAMBI	HGNC:30251	25805	ENSG00000095739	1	BAMBI
12	8950044	9010760	protein_coding	KLRG1	HGNC:6380	10219	ENSG00000139187	1	KLRG1
X	49082028	49082165	snRNA	RNU4-52P	HGNC:46988	NA	ENSG00000206936	1	RNU4-52P
X	49113407	49123735	protein_coding	GPKOW	HGNC:30677	27238	ENSG00000068394	-1	GPKOW
2	130330142	130330285	unprocessed_pseudogene			NA	ENSG00000224352	-1	
2	124778454	124778640	processed_pseudogene			NA	ENSG00000270815	-1	
5	131170944	131205428	protein_coding	LYRM7	HGNC:28072	90624	ENSG00000186687	1	LYRM7
2	237048599	237056167	lncRNA			93463	ENSG00000124835	-1	
HSCHR11_1_CTG8	146464	155977	protein_coding	CDHR5	HGNC:7521	53841	ENSG00000273572	-1	CDHR5
2	189879609	190203484	protein_coding	C2orf88	HGNC:28191	84281	ENSG00000187699	1	C2orf88
19	49818282	49840383	protein_coding	MED25	HGNC:28845	81857	ENSG00000104973	1	MED25
10	28760699	28760803	snRNA	RNU6-270P	HGNC:47233	NA	ENSG00000201001	-1	RNU6-270P
10	28812899	28813139	transcribed_processed_pseudogene			NA	ENSG00000271220	1	
10	133144612	133145304	processed_pseudogene	RPL5P28	HGNC:36827	NA	ENSG00000235264	-1	RPL5P28
10	133230217	133231558	protein_coding	UTF1	HGNC:12634	8433	ENSG00000171794	1	UTF1
10	133237855	133241928	protein_coding	VENTX	HGNC:13639	27287	ENSG00000151650	1	VENTX
X	49152651	49152944	misc_RNA	RN7SL262P	HGNC:46278	NA	ENSG00000265033	1	RN7SL262P
X	49165576	49165972	TEC			NA	ENSG00000279422	-1	
X	149781930	149787737	protein_coding	MAGEA9	HGNC:6807	4108	ENSG00000123584	1	MAGEA9
X	149781930	149787737	protein_coding	MAGEA9	HGNC:6807	728269	ENSG00000123584	1	MAGEA9
12	8987175	8996566	lncRNA			NA	ENSG00000257105	-1	
2	161308425	161411717	protein_coding	PSMD14	HGNC:16889	10213	ENSG00000115233	1	PSMD14
12	9027532	9029089	processed_pseudogene	HNRNPA1P34	HGNC:48763	NA	ENSG00000213049	-1	HNRNPA1P34
X	120938701	120942023	protein_coding	CT47A10	HGNC:33291	728036	ENSG00000224089	-1	CT47A10
X	120938701	120942023	protein_coding	CT47A10	HGNC:33291	100507170	ENSG00000224089	-1	CT47A10
22	36253071	36267530	protein_coding	APOL1	HGNC:618	8542	ENSG00000100342	1	APOL1
10	133247511	133247620	miRNA	MIR202	HGNC:32080	574448	ENSG00000284219	-1	MIR202
10	133257144	133257551	lncRNA			NA	ENSG00000273980	-1	
5	148923639	149063163	protein_coding	SH3TC2	HGNC:29427	79628	ENSG00000169247	-1	SH3TC2
12	9036344	9037244	processed_pseudogene	VDAC2P2	HGNC:32693	NA	ENSG00000255776	1	VDAC2P2
10	133262420	133276868	protein_coding	ADAM8	HGNC:215	101	ENSG00000151651	-1	ADAM8
12	9148840	9208395	protein_coding	PZP	HGNC:9750	5858	ENSG00000126838	-1	PZP
X	120943561	120946883	protein_coding	CT47A9	HGNC:33290	728042	ENSG00000226600	-1	CT47A9
X	120943561	120946883	protein_coding	CT47A9	HGNC:33290	100507170	ENSG00000226600	-1	CT47A9
14	67701886	67734451	protein_coding	RDH12	HGNC:19977	145226	ENSG00000139988	1	RDH12
11	65961728	65980137	protein_coding	SART1	HGNC:10538	9092	ENSG00000175467	1	SART1
X	120948422	120951744	protein_coding	CT47A8	HGNC:33289	728049	ENSG00000230347	-1	CT47A8
X	120948422	120951744	protein_coding	CT47A8	HGNC:33289	100507170	ENSG00000230347	-1	CT47A8
3	149086332	149102823	lncRNA	HLTF-AS1	HGNC:40554	100873945	ENSG00000239718	1	HLTF-AS1
3	149094353	149094462	misc_RNA			NA	ENSG00000201031	-1	Y_RNA
3	149099499	149099815	processed_pseudogene	MED28P2	HGNC:45079	NA	ENSG00000240511	-1	MED28P2
3	149129638	149173732	protein_coding	HPS3	HGNC:15597	84343	ENSG00000163755	1	HPS3
14	67705954	67706252	misc_RNA	RN7SL369P	HGNC:46385	NA	ENSG00000241542	1	RN7SL369P
14	67714545	67715204	processed_pseudogene	RPL21P9	HGNC:19780	NA	ENSG00000258618	1	RPL21P9
HSCHR17_2_CTG1	80185	81246	lncRNA			NA	ENSG00000282357	-1	
X	120958165	120961487	protein_coding	CT47A6	HGNC:33287	255313	ENSG00000226023	-1	CT47A6
X	120958165	120961487	protein_coding	CT47A6	HGNC:33287	728062	ENSG00000226023	-1	CT47A6
X	120958165	120961487	protein_coding	CT47A6	HGNC:33287	100507170	ENSG00000226023	-1	CT47A6
HSCHR17_2_CTG1	45756	47901	lncRNA			NA	ENSG00000282426	-1	
14	67735195	67735350	processed_pseudogene			NA	ENSG00000271697	1	
14	67751228	67751544	misc_RNA	RN7SL213P	HGNC:46229	NA	ENSG00000239820	-1	RN7SL213P
14	67799004	67799609	processed_pseudogene			NA	ENSG00000258759	1	
14	68113706	68114144	unprocessed_pseudogene			NA	ENSG00000274666	-1	
14	34939324	34940332	processed_pseudogene	IGBP1P1	HGNC:19709	NA	ENSG00000226677	1	IGBP1P1
14	35086035	35088059	TEC			NA	ENSG00000279434	1	
X	120963026	120966348	protein_coding	CT47A5	HGNC:33286	728072	ENSG00000237957	-1	CT47A5
X	120963026	120966348	protein_coding	CT47A5	HGNC:33286	100507170	ENSG00000237957	-1	CT47A5
14	36405214	36405274	snRNA	RNU7-93P	HGNC:45627	NA	ENSG00000238540	1	RNU7-93P
14	36473207	36521149	protein_coding			253970	ENSG00000257520	-1	SFTA3
14	36533506	36534538	unprocessed_pseudogene	PHKBP2	HGNC:8929	NA	ENSG00000258467	-1	PHKBP2
14	36577543	36578005	processed_pseudogene	RPL29P3	HGNC:23565	NA	ENSG00000243730	-1	RPL29P3
X	120967886	120971208	protein_coding	CT47A4	HGNC:33285	728075	ENSG00000230594	-1	CT47A4
X	120967886	120971208	protein_coding	CT47A4	HGNC:33285	100507170	ENSG00000230594	-1	CT47A4
14	36580004	36582614	protein_coding	NKX2-8	HGNC:16364	26257	ENSG00000136327	-1	NKX2-8
6	31530219	31546608	protein_coding	ATP6V1G2-DDX39B	HGNC:41999	NA	ENSG00000254870	-1	ATP6V1G2-DDX39B
14	36593839	36594147	misc_RNA	RN7SKP257	HGNC:45981	NA	ENSG00000201395	-1	RN7SKP257
14	36657568	36679362	protein_coding	PAX9	HGNC:8623	5083	ENSG00000198807	1	PAX9
X	120972746	120976068	protein_coding	CT47A3	HGNC:33284	728082	ENSG00000236126	-1	CT47A3
X	120972746	120976068	protein_coding	CT47A3	HGNC:33284	100507170	ENSG00000236126	-1	CT47A3
2	234952017	235055714	protein_coding	SH3BP4	HGNC:10826	23677	ENSG00000130147	1	SH3BP4
6	31536374	31536449	snoRNA	SNORD117	HGNC:32742	692233	ENSG00000201785	-1	SNORD117
6	31541101	31541178	snoRNA	SNORD84	HGNC:32743	692199	ENSG00000265236	-1	SNORD84
6	31572054	31574324	protein_coding	LTA	HGNC:6709	4049	ENSG00000226979	1	LTA
X	120977606	120980928	protein_coding	CT47A2	HGNC:33283	728090	ENSG00000242362	-1	CT47A2
X	120977606	120980928	protein_coding	CT47A2	HGNC:33283	100507170	ENSG00000242362	-1	CT47A2
14	67199062	67200327	processed_pseudogene	SF3B4P1	HGNC:19821	NA	ENSG00000258988	1	SF3B4P1
1	169722640	169764705	protein_coding	SELE	HGNC:10718	6401	ENSG00000007908	-1	SELE
14	67240713	67336061	protein_coding	PALS1	HGNC:18669	64398	ENSG00000072415	1	PALS1
X	149592512	149595314	protein_coding	HSFX2	HGNC:32701	100130086	ENSG00000268738	-1	HSFX2
X	135037281	135040355	lncRNA			NA	ENSG00000286964	1	
X	135075136	135076597	processed_pseudogene	NCLP2	HGNC:35473	NA	ENSG00000234228	-1	NCLP2
X	135094985	135098712	protein_coding	SMIM10L2B	HGNC:34500	644596	ENSG00000196972	-1	SMIM10L2B
X	135118955	135120526	protein_coding	ETDB	HGNC:44269	100129515	ENSG00000224107	-1	ETDB
X	135123239	135123604	lncRNA			NA	ENSG00000223809	-1	
14	67283749	67294073	lncRNA			NA	ENSG00000286319	-1	
X	135135149	135135770	processed_pseudogene			NA	ENSG00000232582	-1	
X	135156540	135171398	protein_coding	CT55	HGNC:26047	54967	ENSG00000169551	-1	CT55
14	67294371	67360265	protein_coding	ATP6V1D	HGNC:13527	51382	ENSG00000100554	-1	ATP6V1D
6	31580525	31582522	protein_coding	LTB	HGNC:6711	4050	ENSG00000227507	-1	LTB
3	128563316	128564431	lncRNA			NA	ENSG00000286806	1	
3	128619969	128681075	protein_coding	RPN1	HGNC:10381	6184	ENSG00000163902	-1	RPN1
X	135180255	135194679	unprocessed_pseudogene			NA	ENSG00000236491	-1	
X	135201731	135215232	unprocessed_pseudogene			NA	ENSG00000228922	1	
X	135236895	135237408	processed_pseudogene			NA	ENSG00000269833	1	
X	135252061	135253583	protein_coding	ETDA	HGNC:53449	101928677	ENSG00000238210	1	ETDA
X	135297046	135298585	processed_pseudogene			NA	ENSG00000274024	1	
X	135309480	135309659	protein_coding	ETDC	HGNC:53450	110806299	ENSG00000283644	1	ETDC
X	135344796	135363413	protein_coding	ZNF449	HGNC:21039	203523	ENSG00000173275	1	ZNF449
X	135421944	135428075	protein_coding	SMIM10L2A	HGNC:34499	399668	ENSG00000178947	1	SMIM10L2A
X	135428168	135428285	rRNA_pseudogene	RNA5SP515	HGNC:43415	NA	ENSG00000201440	-1	RNA5SP515
X	135432960	135438634	processed_pseudogene	CROCCP1	HGNC:33602	NA	ENSG00000225769	1	CROCCP1
X	135445897	135447368	unprocessed_pseudogene			NA	ENSG00000273988	-1	
X	135464329	135465484	processed_pseudogene	WDR4P1	HGNC:55134	NA	ENSG00000271158	-1	WDR4P1
6	31586124	31588909	protein_coding	LST1	HGNC:14189	7940	ENSG00000204482	1	LST1
X	23664262	23686397	protein_coding	PRDX4	HGNC:17169	10549	ENSG00000123131	1	PRDX4
11	65983679	65984331	processed_pseudogene			NA	ENSG00000254867	-1	
11	65996545	66002176	protein_coding	EIF1AD	HGNC:28147	84285	ENSG00000175376	-1	EIF1AD
16	769119	769443	TEC			NA	ENSG00000279136	-1	
16	770183	770277	miRNA	MIR662	HGNC:32918	724032	ENSG00000207579	1	MIR662
22	29306618	29312787	protein_coding	GAS2L1	HGNC:16955	10634	ENSG00000185340	1	GAS2L1
HSCHR11_1_CTG8	197845	209843	lncRNA			NA	ENSG00000282598	1	
HSCHR11_1_CTG8	156330	157042	protein_coding	SCT	HGNC:10607	6343	ENSG00000274473	-1	SCT
12	9155881	9156372	processed_pseudogene	TPT1P12	HGNC:49303	NA	ENSG00000256817	-1	TPT1P12
12	9239467	9239551	miRNA	MIR1244-3	HGNC:38390	100422872	ENSG00000283429	-1	MIR1244-3
12	114504876	114505187	misc_RNA	RN7SKP216	HGNC:45940	NA	ENSG00000222982	-1	RN7SKP216
12	114548854	114549852	processed_pseudogene			NA	ENSG00000255830	1	
9	133098121	133163914	protein_coding			NA	ENSG00000285245	-1	
HSCHR11_1_CTG8	3536	21040	protein_coding	PTDSS2	HGNC:15463	81490	ENSG00000282367	1	PTDSS2
2	161424332	161985282	protein_coding	SLC4A10	HGNC:13811	57282	ENSG00000144290	1	SLC4A10
12	114588194	114588802	processed_pseudogene	OSTF1P1	HGNC:31439	NA	ENSG00000258244	1	OSTF1P1
12	114657949	114658062	misc_RNA			NA	ENSG00000199220	-1	Y_RNA
16	89490719	89557766	protein_coding	SPG7	HGNC:11237	6687	ENSG00000197912	1	SPG7
16	89490719	89557766	protein_coding	SPG7	HGNC:11237	101930112	ENSG00000197912	1	SPG7
12	114353911	114408442	protein_coding	TBX5	HGNC:11604	6910	ENSG00000089225	-1	TBX5
10	133308914	133313162	protein_coding	ZNF511	HGNC:28445	118472	ENSG00000198546	1	ZNF511
9	133152948	133163933	protein_coding	GBGT1	HGNC:20460	26301	ENSG00000148288	-1	GBGT1
7	38977909	39493095	protein_coding	POU6F2	HGNC:21694	11281	ENSG00000106536	1	POU6F2
8	42341767	42342634	processed_pseudogene	RPL5P23	HGNC:36553	NA	ENSG00000240395	-1	RPL5P23
8	108131100	108132114	processed_pseudogene	AURKBP1	HGNC:18613	NA	ENSG00000230948	-1	AURKBP1
8	108226200	108227544	lncRNA			NA	ENSG00000253754	1	
8	108378831	108379545	processed_pseudogene	RPS17P14	HGNC:35534	NA	ENSG00000243287	-1	RPS17P14
8	108443601	108489196	protein_coding	EMC2	HGNC:28963	9694	ENSG00000104412	1	EMC2
10	133309410	133352529	protein_coding	ZNF511-PRAP1	HGNC:38088	104326056	ENSG00000283496	1	ZNF511-PRAP1
3	128673681	128674021	misc_RNA			NA	ENSG00000277250	-1	Metazoa_SRP
X	23701055	23766475	protein_coding	ACOT9	HGNC:17152	23597	ENSG00000123130	-1	ACOT9
3	128674735	128677005	unprocessed_pseudogene	POU5F1P6	HGNC:33312	NA	ENSG00000242551	-1	POU5F1P6
10	133324072	133336935	protein_coding	CALY	HGNC:17938	50632	ENSG00000130643	-1	CALY
3	128714571	128714705	snoRNA			124900558	ENSG00000207130	-1	
3	128748538	128749489	processed_pseudogene	MARK2P8	HGNC:39799	NA	ENSG00000239503	-1	MARK2P8
3	88095408	88095968	processed_pseudogene	CBX5P1	HGNC:38659	NA	ENSG00000241535	-1	CBX5P1
3	88149959	88168729	protein_coding	C3orf38	HGNC:28384	285237	ENSG00000179021	1	C3orf38
1	217426992	217631090	protein_coding	GPATCH2	HGNC:25499	55105	ENSG00000092978	-1	GPATCH2
HSCHR17_2_CTG2	226365	229558	lncRNA	ABR-AS1	HGNC:55674	NA	ENSG00000281590	1	ABR-AS1
HSCHR17_2_CTG2	240276	243012	protein_coding	TRARG1	HGNC:29592	286753	ENSG00000280938	1	TRARG1
HSCHR17_2_CTG2	17546	19017	protein_coding	NXN	HGNC:18008	64359	ENSG00000280563	-1	NXN
HSCHR17_2_CTG2	199812	200021	processed_pseudogene			NA	ENSG00000281251	1	
HSCHR17_2_CTG2	286301	342404	protein_coding	YWHAE	HGNC:12851	7531	ENSG00000274474	-1	YWHAE
3	88317156	88319022	processed_pseudogene	ABCF2P1	HGNC:48841	NA	ENSG00000242159	1	ABCF2P1
3	101414228	101414633	processed_pseudogene	FAM136CP	HGNC:55496	NA	ENSG00000232830	1	FAM136CP
3	101457241	101457732	processed_pseudogene	BTF3P16	HGNC:38568	NA	ENSG00000282978	-1	BTF3P16
HSCHR17_1_CTG5	126335	181190	protein_coding	PLEKHM1	HGNC:29017	9842	ENSG00000277111	-1	PLEKHM1
3	101458530	101458626	misc_RNA			NA	ENSG00000201554	1	Y_RNA
3	101574180	101594465	protein_coding	PCNP	HGNC:30023	57092	ENSG00000081154	1	PCNP
10	133344643	133344906	processed_pseudogene	BANF1P2	HGNC:23426	NA	ENSG00000230306	-1	BANF1P2
10	133347368	133352683	protein_coding	PRAP1	HGNC:23304	118471	ENSG00000165828	1	PRAP1
1	169690665	169711702	protein_coding	SELL	HGNC:10720	6402	ENSG00000188404	-1	SELL
7	143755089	143757696	protein_coding	CTAGE6	HGNC:28644	340307	ENSG00000271321	-1	CTAGE6
7	66556216	66557065	processed_pseudogene	SAPCD2P3	HGNC:51279	NA	ENSG00000232491	1	SAPCD2P3
7	66606738	66607107	processed_pseudogene	RPL35P5	HGNC:36955	NA	ENSG00000225573	-1	RPL35P5
7	66628958	66811189	protein_coding			NA	ENSG00000284461	1	
3	101576489	101576947	processed_pseudogene	RPS18P5	HGNC:36287	NA	ENSG00000242299	-1	RPS18P5
3	101599243	101599644	processed_pseudogene	RPL32P7	HGNC:35804	NA	ENSG00000243396	-1	RPL32P7
10	133362485	133373354	protein_coding	ECHS1	HGNC:3151	1892	ENSG00000127884	-1	ECHS1
3	101615826	101615928	snRNA	RNU6-1256P	HGNC:48219	NA	ENSG00000252348	1	RNU6-1256P
8	108572643	108573174	processed_pseudogene			NA	ENSG00000253657	1	
3	101628310	101628406	misc_RNA			NA	ENSG00000212319	-1	Y_RNA
3	101647421	101647522	misc_RNA			NA	ENSG00000201511	1	Y_RNA
8	139508701	139508971	unprocessed_pseudogene			NA	ENSG00000275078	-1	
3	101662060	101662164	misc_RNA	RNY1P12	HGNC:50875	NA	ENSG00000201121	-1	RNY1P12
3	134170487	134171085	processed_pseudogene	HMGB3P14	HGNC:39306	NA	ENSG00000231845	1	HMGB3P14
8	139600838	139704109	protein_coding	KCNK9	HGNC:6283	51305	ENSG00000169427	-1	KCNK9
7	66748838	66749077	processed_pseudogene			NA	ENSG00000271064	-1	
3	134347288	134349233	lncRNA			NA	ENSG00000260633	-1	
7	66891188	66891291	snRNA	RNU6-1254P	HGNC:48217	NA	ENSG00000212568	1	RNU6-1254P
HSCHR14_8_CTG1	151199	151385	processed_pseudogene	RPS28P1	HGNC:23561	NA	ENSG00000285273	1	RPS28P1
22	21383751	21389478	protein_coding	RIMBP3B	HGNC:33891	440804	ENSG00000274600	1	RIMBP3B
7	66914581	66914943	processed_pseudogene	RPL31P38	HGNC:36834	NA	ENSG00000179131	1	RPL31P38
3	134385197	134385494	processed_pseudogene	HMGN1P9	HGNC:39352	NA	ENSG00000248377	1	HMGN1P9
22	21360601	21361299	protein_coding	FAM246A	HGNC:54844	117134598	ENSG00000286102	-1	FAM246A
3	134437605	134438211	processed_pseudogene	HMGB3P13	HGNC:39305	NA	ENSG00000214288	1	HMGB3P13
HSCHR14_8_CTG1	72396	72457	snRNA	RNU7-116P	HGNC:45650	NA	ENSG00000284769	1	RNU7-116P
HSCHR14_8_CTG1	20168	64017	protein_coding	SGPP1	HGNC:17720	81537	ENSG00000285281	-1	SGPP1
3	134510531	134511413	processed_pseudogene	DPPA4P2	HGNC:56530	NA	ENSG00000249691	-1	DPPA4P2
22	40410281	40636719	protein_coding	MRTFA	HGNC:14334	57591	ENSG00000196588	-1	MRTFA
7	66915063	66915334	misc_RNA			NA	ENSG00000274135	-1	Metazoa_SRP
7	150685697	150693641	protein_coding	GIMAP2	HGNC:21789	26157	ENSG00000106560	1	GIMAP2
3	134599923	134651636	protein_coding	KY	HGNC:26576	339855	ENSG00000174611	-1	KY
5	160931778	160938626	lncRNA	LINC02159	HGNC:27749	285629	ENSG00000253417	-1	LINC02159
1	187632166	187632439	processed_pseudogene			NA	ENSG00000274702	1	
